word,gender,idf,meanfreq,has_a,has_e,has_i,has_o,has_u,has_y
"accola1","f","2.07166098512745","2.5555555555555554",1,0,0,1,0,0
"accusator1","m","1.52276773911381","7.924050632911392",1,0,0,1,1,0
"Achilles1","m","1.96856749216334","6.431034482758621",0,1,1,0,0,0
"acies1","f","0.559761946596014","25.064935064935064",1,1,1,0,0,0
"acta1","f","0.358942937207918","3.2824858757062145",1,0,0,0,0,0
"actor1","m","1.87235217690404","2.9516129032258065",1,0,0,1,0,0
"actum1","n","0.375337375458586","3.03047619047619",1,0,0,0,1,0
"actus2","m","0.531927738399288","2.229299363057325",1,0,0,0,1,0
"acus1","f","2.9196578916824","5.333333333333333",1,0,0,0,1,0
"adamas1","m","3.73908564604058","0.8823529411764706",1,0,0,0,0,0
"adhortatio1","f","2.6566234858486","2.5555555555555554",1,0,1,1,0,0
"aditus2","m","0.860764202628828","1.9653333333333332",1,0,1,0,1,0
"administer1","m","4.6566234858486","1.9444444444444444",1,1,1,0,0,0
"admiratio1","f","1.41715755115321","4.0588235294117645",1,0,1,1,0,0
"admissum1","n","1.33469539096124","1.05",1,0,1,0,1,0
"adulescens1","m","0.87235217690404","9.137096774193548",1,1,0,0,1,0
"adulescentia1","f","1.27195963561328","3.1843971631205665",1,1,1,0,1,0
"adulescentulus1","m","1.76045929683314","2.5597014925373136",1,1,0,0,1,0
"advena1","f","1.55976194659601","2.4805194805194803",1,1,0,0,0,0
"adventus1","m","0.771266051789726","4.676691729323308",1,1,0,0,1,0
"adversarius1","m","1.35081505632452","6.764044943820225",1,1,1,0,1,0
"adversus1","m","0.375337375458586","5.320938775510204",1,1,0,0,1,0
"adversus2","m","0.358942937207918","5.334261501210654",1,1,0,0,1,0
"adversus3","m","0.375337375458586","5.320938775510204",1,1,0,0,1,0
"aedes2","f","0.626876142454551","4.640589569160999",1,1,0,0,0,0
"aedicula1","f","3.6566234858486","1.7222222222222223",1,1,1,0,1,0
"aedificium1","n","1.45150905594399","4.734939759036145",1,1,1,0,1,0
"aedilis1","m","1.48669848440629","6.320987654320987",1,1,1,0,0,0
"aequor1","n","1.59772979679503","10.106666666666667",1,1,0,1,1,0
"aequum1","n","0.197191867211305","6.267676767676773",1,1,0,0,1,0
"aequus1","m","0.16833700453912","9.230198019801986",1,1,0,0,1,0
"aerarium1","n","1.59772979679503","2.1266666666666665",1,1,1,0,1,0
"aestiva1","n","1.71802403051275","1.2826086956521738",1,1,1,0,0,0
"aestus1","m","1.01919356523331","5.1875",1,1,0,0,1,0
"aetatula1","f","4.12610876914982","1.4615384615384615",1,1,0,0,1,0
"aevum1","n","1.33469539096124","6.533333333333333",1,1,0,0,1,0
"ager1","m","0.358942937207918","32.26553672316384",1,1,0,0,0,0
"agger1","m","1.57862097384733","3.3201754385964906",1,1,0,0,0,0
"agitator1","m","4.12610876914982","1.0769230769230769",1,0,1,1,0,0
"agmen1","n","0.919657891682396","22.466666666666665",1,1,0,0,0,0
"agna1","f","3.24158598656976","2.3958333333333335",1,0,0,0,0,0
"agnus1","m","1.96856749216334","2.560344827586207",1,0,0,0,1,0
"agricola1","m","1.849268563791","4.111111111111111",1,0,1,1,0,0
"ala1","f","0.993658473126173","5.021929824561403",1,0,0,0,0,0
"Albula1","f","4.24158598656976","0.9166666666666666",1,0,0,0,1,0
"Alcides1","m","3.01919356523331","7.428571428571429",0,1,1,0,0,0
"alea1","f","1.99365847312617","1.9824561403508771",1,1,0,0,0,0
"alga1","f","3.6566234858486","2.3333333333333335",1,0,0,0,0,0
"alienatio1","f","3.6566234858486","1.1111111111111112",1,1,1,1,0,0
"alienum1","n","0.287389676182884","2.3481182795698907",1,1,1,0,1,0
"alienus2","m","0.211838643175707","3.7657312925170046",1,1,1,0,1,0
"allium1","n","0.0783556377014548","30.132558139534858",1,0,1,0,1,0
"alter1","-","0.119189355210032","38.4688995215311",1,1,0,0,0,0
"altum1","n","0.504620392403553","3.2443750000000002",1,0,0,0,1,0
"alumnus1","m","1.71802403051275","2.4855072463768115",1,0,0,0,1,0
"alveus1","m","1.89581114972803","3.7540983606557377",1,1,0,0,1,0
"alvus1","f","2.04518877376626","15.809090909090909",1,0,0,0,1,0
"amata1","f","3.18269229751619","1.72",1,0,0,0,0,0
"ambages1","f","1.48669848440629","2.4753086419753085",1,1,0,0,0,0
"ambitus2","m","1.55976194659601","2.461038961038961",1,0,1,0,1,0
"amentia1","f","2.15412314531942","2.2254901960784315",1,1,1,0,0,0
